tên,giá,số lõi,xung cơ bản,xung boost,kiến trúc,tdp,đồ họa,socket
AMD Ryzen 7 9800X3D,285474420000,8,4.7,5.2,Zen 5,120,Radeon,AM5
AMD Ryzen 7 7800X3D,215006814000,8,4.2,5.0,Zen 4,120,Radeon,AM5
AMD Ryzen 5 7600X,107797417200,6,4.7,5.3,Zen 4,105,Radeon,AM5
AMD Ryzen 5 9600X,129611077200,6,3.9,5.4,Zen 5,65,Radeon,AM5
AMD Ryzen 7 7700X,153631394400,8,4.5,5.4,Zen 4,105,Radeon,AM5
AMD Ryzen 9 9950X3D,410975677200,16,4.3,5.7,Zen 5,170,Radeon,AM5
AMD Ryzen 7 9700X,193408129200,8,3.8,5.5,Zen 5,65,Radeon,AM5
Intel Core i7-14700K,187894647600,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,LGA 1700
Intel Core i9-14900K,277570920000,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,LGA 1700
AMD Ryzen 5 7600,124540191600,6,3.8,5.1,Zen 4,65,Radeon,AM5
AMD Ryzen 9 7900X,198605470800,12,4.7,5.6,Zen 4,170,Radeon,AM5
AMD Ryzen 9 9900X,226988520000,12,4.4,5.6,Zen 5,120,Radeon,AM5
Intel Core i5-14600K,120126877200,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,LGA 1700
Intel Core Ultra 7 265K,170709277200,20,3.9,5.5,Arrow Lake,125,Intel Xe,LGA 1851
AMD Ryzen 9 9950X,337530032400,16,4.3,5.7,Zen 5,170,Radeon,AM5
Intel Core Ultra 9 285K,354070477200,24,3.7,5.7,Arrow Lake,125,Intel Xe,LGA 1851
Intel Core i7-12700K,135402762000,12,3.6,5.0,Alder Lake,125,Intel UHD Graphics 770,LGA 1700
AMD Ryzen 5 7600X3D,274093380000,6,4.1,4.7,Zen 4,65,Radeon,AM5
AMD Ryzen 5 5600G,85351477200,6,3.9,4.4,Zen 3,65,Radeon Vega 7,AM4
AMD Ryzen 7 7700,185871351600,8,3.6,5.3,Zen 4,65,Radeon,AM5
AMD Ryzen 5 8500G,96422700000,6,4.1,5.0,Zen 4,65,Radeon 740M,AM5
Intel Core i5-12600K,93697573200,10,3.7,4.9,Alder Lake,125,Intel UHD Graphics 770,LGA 1700
AMD Ryzen 7 5700G,110630031600,8,3.8,4.6,Zen 3,65,Radeon Vega 8,AM4
AMD Ryzen 9 7950X,284500708800,16,4.5,5.7,Zen 4,170,Radeon,AM5
AMD Ryzen 5 8600G,142155512400,6,4.3,5.0,Zen 4,65,Radeon 760M,AM5
Intel Core i9-12900K,180825757200,16,3.2,5.2,Alder Lake,125,Intel UHD Graphics 770,LGA 1700
AMD Ryzen 9 9900X3D,341418554400,12,4.4,5.5,Zen 5,120,Radeon,AM5
AMD Ryzen 9 7950X3D,486394035600,16,4.2,5.7,Zen 4,120,Radeon,AM5
AMD Ryzen 7 8700G,176406120000,8,4.2,5.1,Zen 4,65,Radeon 780M,AM5
Intel Core i7-13700K,246797852400,16,3.4,5.4,Raptor Lake,125,Intel UHD Graphics 770,LGA 1700
Intel Core i9-14900KS,404640231600,24,3.2,6.2,Raptor Lake Refresh,150,Intel UHD Graphics 770,LGA 1700
AMD Ryzen 5 5600GT,85357800000,6,3.6,4.6,Zen 3,65,Radeon Vega 7,AM4
AMD Ryzen 9 7900,216834103200,12,3.7,5.4,Zen 4,65,Radeon,AM5
Intel Core i7-9700K,151386800400,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,LGA 1151
Intel Core i7-8700K,113178120000,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630,LGA 1151
AMD Ryzen 3 3200G,46440966000,4,3.6,4.0,Zen+,65,Radeon Vega 8,AM4
AMD Ryzen 5 3400G,53794382400,4,3.7,4.2,Zen+,65,Radeon Vega 11,AM4
Intel Core i9-13900K,274409520000,24,3.0,5.8,Raptor Lake,125,Intel UHD Graphics 770,LGA 1700
Intel Core i5-12400,90763794000,6,2.5,4.4,Alder Lake,65,Intel UHD Graphics 730,LGA 1700
Intel Core i5-12400F,90763794000,6,2.5,4.4,Alder Lake,65,,LGA 1700
Intel Core i9-9900K,252279720000,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630,LGA 1151
Intel Core i5-13600K,189677677200,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770,LGA 1700
Intel Core i7-7700K,95910553200,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630,LGA 1151
Intel Core Ultra 5 245K,164386477200,14,4.2,5.2,Arrow Lake,125,Intel Xe,LGA 1851
Intel Core i7-10700K,220665720000,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,LGA 1200
Intel Core i5-14400,111268634400,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730,LGA 1700
Intel Core i7-6700K,144766828800,4,4.0,4.2,Skylake,91,Intel HD Graphics 530,LGA 1151
Intel Core i5-9600K,104958480000,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,LGA 1151
Intel Core i7-11700K,185883997200,8,3.6,5.0,Rocket Lake,125,Intel UHD Graphics 750,LGA 1200
Intel Core i3-12100,71814362400,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730,LGA 1700
Intel Core i5-10400,88512877200,6,2.9,4.3,Comet Lake,65,Intel UHD Graphics 630,LGA 1200
Intel Core i7-8700,119165811600,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630,LGA 1151
Intel Core i3-14100,75841986000,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730,LGA 1700
Intel Core i9-10900K,347115397200,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,LGA 1200
Intel Core i5-13400,103725534000,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730,LGA 1700
Intel Core i7-7700,64808700000,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630,LGA 1151
Intel Core i5-6500,55090556400,4,3.2,3.6,Skylake,65,Intel HD Graphics 530,LGA 1151
AMD Ryzen 5 5500GT,89733177600,6,3.6,4.4,Zen 3,65,Radeon Vega 7,AM4
AMD Ryzen 5 9600,295622514000,6,3.8,5.2,Zen 5,65,Radeon,AM5
Intel Core Ultra 5 235,167547877200,14,3.4,5.0,Arrow Lake,65,Intel Xe,LGA 1851
Intel Core i7-4790K,82518862800,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600,LGA 1150
