tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
MSI GeForce RTX 5070 Ti 16G MLG EDITION OC GDDR7,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2572.0,RED,338.0,300.0
GIGABYTE GeForce RTX 5070 Ti GAMING 16G,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2588.0,RGB,342.0,300.0
MSI VENTUS 3X OC GeForce RTX 5070 Ti 16GB GDDR7,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2482.0,GREY,303.0,300.0
MSI GeForce RTX 5070 Ti 16GB EXPERT,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2467.0,GOLD,319.0,300.0
ASUS Noctua OC Edition GeForce RTX 5080 16GB GDDR7,37559760,GeForce RTX 5080,16.0,2295.0,2700.0,BROWN,385.0,360.0
Asus ROG Astral OC HATSUNE MIKU EDITION GeForce RTX 5080 16GB GDDR7,37559760,GeForce RTX 5080,16.0,2295.0,2760.0,PINK,358.0,360.0
MSI GeForce RTX 5080 16G VENTUS 3X OC GDDR7,37559760,GeForce RTX 5080,16.0,2295.0,2640.0,GREY,303.0,360.0
MSI GeForce RTX™ 5080 INSPIRE 3X 16GB GDDR7 Black/Gold,37559760,GeForce RTX 5080,16.0,2295.0,2625.0,GOLD,288.0,358.0
GALAX SUPER EX Gaming (1-Click OC) GeForce RTX 4070 12GB GDDR6X Pink,19680000,Georce RTX 4070,12.0,1920.0,2580.0,PINK,336.0,200.0
MSI GeForce RTX 4070 VENTUS 3X E 12GB GDDR6X Silver / Black,19680000,GeForce RTX 4070,12.0,1920.0,2490.0,GREY,308.0,200.0
Inno3D TWIN X2 OC GeForce RTX 4070 12GB GDDR6X White / Silver,19680000,GeForce RTX 4070,12.0,1920.0,2505.0,WHITE,250.0,200.0
Gigabyte GeForce RTX 4070 WINDFORCE 2X OC 12G GDDR6X,19680000,GeForce RTX 4070,12.0,1920.0,2490.0,BLACK,201.0,200.0
Gainward Phoenix GS GeForce RTX 3060 Ti 8GB GDDR6 Silver / Black,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1800.0,GREY,294.0,200.0
Gigabyte VISION OC Rev 2.0 GeForce RTX 3060 Ti LHR 8GB GDDR6 Silver / White,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1755.0,WHITE,281.0,200.0
Gigabyte GeForce RTX 3060 Ti GAMING OC PRO Black / Silver 8GB GDDR6,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1770.0,BLACK,286.0,200.0
Colorful iGame Ultra W OC-V GeForce RTX 4070 Ti 12GB GDDR6X Silver / Blue,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2745.0,BLUE,334.0,285.0
MSI VENTUS 3X E GeForce RTX 4070 Ti 12GB GDDR6X Silver / Black,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2625.0,GREY,308.0,285.0
MSI GAMING TRIO GeForce RTX 4070 Ti 12GB GDDR6X White,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2625.0,WHITE,337.0,285.0
Inno3D X3 GeForce RTX 4070 Ti 12GB GDDR6X Black / Silver,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2610.0,BLACK,297.0,285.0
MSI GeForce RTX™ 5060 8G INSPIRE ITX OC,7199760,GeForce RTX 5060,8.0,2280.0,2535.0,GOLD,145.0,145.0
MSI VENTUS 2X OC GeForce RTX 5060 8GB GDDR7,7199760,GeForce RTX 5060,8.0,2280.0,2527.0,GREY,197.0,145.0
