tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp,interface,image_url
MSI GeForce RTX 5070 Ti 16G MLG EDITION OC GDDR7,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2572.0,RED,338.0,300.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5070_ti_16g_mlg_edition_oc_gddr7.png
GIGABYTE GeForce RTX 5070 Ti GAMING 16G,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2588.0,RGB,342.0,300.0,PCIe 5.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_5070_ti_gaming_16g.png
MSI VENTUS 3X OC GeForce RTX 5070 Ti 16GB GDDR7,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2482.0,GREY,303.0,300.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_ventus_3x_oc_geforce_rtx_5070_ti_16gb_gddr7.png
MSI GeForce RTX 5070 Ti 16GB EXPERT,19919760,GeForce RTX 5070 Ti,16.0,2295.0,2467.0,GOLD,319.0,300.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5070_ti_16gb_expert.png
ASUS Noctua OC Edition GeForce RTX 5080 16GB GDDR7,37559760,GeForce RTX 5080,16.0,2295.0,2700.0,BROWN,385.0,360.0,PCIe 5.0 x16,assets/images/gpu/gpu_asus_noctua_oc_edition_geforce_rtx_5080_16gb_gddr7.png
Asus ROG Astral OC HATSUNE MIKU EDITION GeForce RTX 5080 16GB GDDR7,37559760,GeForce RTX 5080,16.0,2295.0,2760.0,PINK,358.0,360.0,PCIe 5.0 x16,assets/images/gpu/gpu_asus_rog_astral_oc_hatsune_miku_edition_geforce_rtx_5080_16gb_gddr7.png
MSI GeForce RTX 5080 16G VENTUS 3X OC GDDR7,37559760,GeForce RTX 5080,16.0,2295.0,2640.0,GREY,303.0,360.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5080_16g_ventus_3x_oc_gddr7.png
MSI GeForce RTX™ 5080 INSPIRE 3X 16GB GDDR7 Black/Gold,37559760,GeForce RTX 5080,16.0,2295.0,2625.0,GOLD,288.0,358.0,PCIe 5.0 x16,assets/images/gpu/gpu_msi_geforce_rtx_5080_inspire_3x_16gb_gddr7_black_gold.png
GALAX SUPER EX Gaming (1-Click OC) GeForce RTX 4070 12GB GDDR6X Pink,19680000,Georce RTX 4070,12.0,1920.0,2580.0,PINK,336.0,200.0,PCIe x16,assets/images/gpu/gpu_galax_super_ex_gaming_1_click_oc_geforce_rtx_4070_12gb_gddr6x_pink.png
MSI GeForce RTX 4070 VENTUS 3X E 12GB GDDR6X Silver / Black,19680000,GeForce RTX 4070,12.0,1920.0,2490.0,GREY,308.0,200.0,PCIe x16,assets/images/gpu/gpu_msi_geforce_rtx_4070_ventus_3x_e_12gb_gddr6x_silver_black.png
Inno3D TWIN X2 OC GeForce RTX 4070 12GB GDDR6X White / Silver,19680000,GeForce RTX 4070,12.0,1920.0,2505.0,WHITE,250.0,200.0,PCIe x16,assets/images/gpu/gpu_inno3d_twin_x2_oc_geforce_rtx_4070_12gb_gddr6x_white_silver.png
Gigabyte GeForce RTX 4070 WINDFORCE 2X OC 12G GDDR6X,19680000,GeForce RTX 4070,12.0,1920.0,2490.0,BLACK,201.0,200.0,PCIe 4.0 x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_4070_windforce_2x_oc_12g_gddr6x.png
Gainward Phoenix GS GeForce RTX 3060 Ti 8GB GDDR6 Silver / Black,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1800.0,GREY,294.0,200.0,PCIe x16,assets/images/gpu/gpu_gainward_phoenix_gs_geforce_rtx_3060_ti_8gb_gddr6_silver_black.png
Gigabyte VISION OC Rev 2.0 GeForce RTX 3060 Ti LHR 8GB GDDR6 Silver / White,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1755.0,WHITE,281.0,200.0,PCIe x16,assets/images/gpu/gpu_gigabyte_vision_oc_rev_2_0_geforce_rtx_3060_ti_lhr_8gb_gddr6_silver_white.png
Gigabyte GeForce RTX 3060 Ti GAMING OC PRO Black / Silver 8GB GDDR6,11738160,GeForce RTX 3060 Ti,8.0,1410.0,1770.0,BLACK,286.0,200.0,PCIe x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_3060_ti_gaming_oc_pro_black_silver_8gb_gddr6.png
Colorful iGame Ultra W OC-V GeForce RTX 4070 Ti 12GB GDDR6X Silver / Blue,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2745.0,BLUE,334.0,285.0,PCIe x16,assets/images/gpu/gpu_colorful_igame_ultra_w_oc_v_geforce_rtx_4070_ti_12gb_gddr6x_silver_blue.png
MSI VENTUS 3X E GeForce RTX 4070 Ti 12GB GDDR6X Silver / Black,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2625.0,GREY,308.0,285.0,PCIe x16,assets/images/gpu/gpu_msi_ventus_3x_e_geforce_rtx_4070_ti_12gb_gddr6x_silver_black.png
MSI GAMING TRIO GeForce RTX 4070 Ti 12GB GDDR6X White,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2625.0,WHITE,337.0,285.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_trio_geforce_rtx_4070_ti_12gb_gddr6x_white.png
Inno3D X3 GeForce RTX 4070 Ti 12GB GDDR6X Black / Silver,26399760,GeForce RTX 4070 Ti,12.0,2310.0,2610.0,BLACK,297.0,285.0,PCIe x16,assets/images/gpu/gpu_inno3d_x3_geforce_rtx_4070_ti_12gb_gddr6x_black_silver.png
MSI GeForce RTX™ 5060 8G INSPIRE ITX OC,7199760,GeForce RTX 5060,8.0,2280.0,2535.0,GOLD,145.0,145.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_geforce_rtx_5060_8g_inspire_itx_oc.png
MSI VENTUS 2X OC GeForce RTX 5060 8GB GDDR7,7199760,GeForce RTX 5060,8.0,2280.0,2527.0,GREY,197.0,145.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_ventus_2x_oc_geforce_rtx_5060_8gb_gddr7.png
MSI GeForce RTX 5060 8G GAMING TRIO WHITE,7199760,GeForce RTX 5060,8.0,2407.0,2587.0,WHITE,300.0,155.0,PCIe 5.0 x8,assets/images/gpu/gpu_msi_geforce_rtx_5060_8g_gaming_trio_white.png
Inno3D GeForce RTX 5060 Twin X2 8GB GDDR7 Black,7199760,GeForce RTX 5060,8.0,2280.0,2497.0,BLACK,225.0,145.0,PCIe x16,assets/images/gpu/gpu_inno3d_geforce_rtx_5060_twin_x2_8gb_gddr7_black.png
