tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
ASUS B760M-AYW WIFI D4,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus H81 H81M-C/CSM DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Gigabyte B860M AORUS ELITE WIFI6E DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Biostar B560 M-SILVER LGA1200 DDR4 Micro ATX,4465478,LGA 1200,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock H410 M/ac DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS H310 PRIME H310M-R R2.0 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s
ASRock B560M Pro4 LGA1200 DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI PRO B650M-P,3951487,AM5,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI A320M PRO-VD PLUS AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s
ASRock B850 Pro RS WiFi AM5 DDR5 ATX,5268737,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASRock B860 Lightning WiFi DDR5 ATX,5268737,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS X870 MAX GAMING WIFI7 W DDR5 ATX,6698216,AM5,ATX,256,4,TRẮNG,DDR5,PCIe 4.0 x4,
MSI B550-A PRO (CEC),9905720,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,
MSI B450-A PRO MAX,6342032,AM4,ATX,64,4,,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte X299 AORUS Gaming 3 Pro LGA2066 DDR4 ATX,12882705,LGA 2066,ATX,128,8,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B85 PLUS LGA1150 DDR3 ATX,10853613,LGA 1150,ATX,32,4,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Asus X79 Deluxe LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,64,8,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s
Gigabyte B650M C AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,192,4,NÂU / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MAXSUN B760 iCraft B760M CROSS LGA1700 DDR5 Micro ATX,4018139,LGA 1700,Micro ATX,192,4,TRẮNG / HỒNG,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus B560 PRIME B560M-A AC LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B650-PLUS,4214937,AM5,ATX,256,4,ĐEN / XÁM / CAM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus PRIME B650-PLUS WIFI,4214937,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte A520M H (rev. 1.x),2897687,AM4,Micro ATX,64,2,ĐEN,DDR4,SATA / PCIe 3.0 x4/x2,sata_6_gb_s
Asus Z370 ROG Strix Z370-H Gaming DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B850 AI TOP AM5 DDR5 ATX,6129691,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus Z890 MAX GAMING WIFI7 DDR5 ATX,8693587,LGA 1851,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus PRIME B650M-A II-CSM,4214937,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASRock B360M ITX/ac DDR4 Mini ITX,8469918,LGA 1151,Mini-ITX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z390 AORUS ULTRA ATX LGA1151,7007770,LGA 1151,ATX,128,4,,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus B150 M-A/M.2 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Supermicro Intel C602 X9SRA LGA2011 DDR3 ATX,19495300,LGA 2011,ATX,64,8,ĐEN / XANH LÁ,DDR3,,sata_3_gb_s; sata_6_gb_s
Gigabyte AMD 970 GA-970A-DS3 AM3+ DDR3 ATX,3746259,AM3+,ATX,32,4,XANH DƯƠNG / TRẮNG,DDR3,,sata_6_gb_s
Biostar Z590 MHP DDR4 Micro ATX,4465478,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus Z270 TUF MARK 1 DDR4 ATX LGA1151,9707869,LGA 1151,ATX,64,4,XANH LÁ / NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z270 GAMING M5 DDR4 ATX,10295099,LGA 1151,ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z790 MPG EDGE MONSTER HUNTER EDITION DDR5 ATX,6306466,LGA 1700,ATX,256,4,ĐEN / ĐỎ,DDR5,PCIe 4.0 x4,sata_6_gb_s
Asus Z270 MAXIMUS IX APEX LGA1151 DDR4 EATX,17124250,LGA 1151,EATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS TUF GAMING B850-BTF WIFI W,7376337,AM5,ATX,256,4,TRẮNG / XÁM,DDR5,PCIe 4.0 x4,
Gigabyte B760 DS3H AX DDR5 ATX,6913982,LGA 1700,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B650 GAMING PLUS WIFI DDR5 ATX,6452944,AM5,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI MAG Z890 TOMAHAWK WIFI,6322537,LGA 1851,ATX,256,4,ĐEN / VÀNG,DDR5,PCIe 4.0 x4,
ASRock 990FX Killer/3.1 DDR3 ATX,3361622,AM3+,ATX,64,4,ĐEN / ĐỎ,DDR3,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B360M HD3 DDR4 Micro ATX LGA1151,6849437,LGA 1151,Micro ATX,32,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI X299 TOMAHAWK ARCTIC DDR4 ATX,12882705,LGA 2066,ATX,256,8,TRẮNG / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock Z890 Phantom Gaming Nova WiFi DDR5 ATX,5268737,LGA 1851,ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,
