tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
ASUS B760M-AYW WIFI D4,4858808,LGA 1700,Micro ATX,64,2,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b760m_ayw_wifi_d4.png
MSI B850 PRO B850M-VC WIFI6E AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b850_pro_b850m_vc_wifi6e_am5_ddr5_micro_atx.png
Asus H81 H81M-C/CSM DDR3 Micro ATX,7561015,LGA 1150,Micro ATX,16,2,ĐEN / VÀNG,DDR3,,sata_3_gb_s; sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h81_h81m_c_csm_ddr3_micro_atx.png
Gigabyte B860M AORUS ELITE WIFI6E DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,256,4,ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b860m_aorus_elite_wifi6e_ddr5_micro_atx.png
Biostar B560 M-SILVER LGA1200 DDR4 Micro ATX,4465478,LGA 1200,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_biostar_b560_m_silver_lga1200_ddr4_micro_atx.png
ASRock H410 M/ac DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_h410_m_ac_ddr4_micro_atx.png
ASUS H310 PRIME H310M-R R2.0 LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_h310_prime_h310m_r_r2_0_lga1151_ddr4_micro_atx.png
ASRock B560M Pro4 LGA1200 DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asrock_b560m_pro4_lga1200_ddr4_micro_atx.png
MSI PRO B650M-P,3951487,AM5,Micro ATX,256,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_pro_b650m_p.png
MSI A320M PRO-VD PLUS AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,32,2,NÂU / ĐEN,DDR4,,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_a320m_pro_vd_plus_am4_ddr4_micro_atx.png
